id;catalogueId;type;title;technique;measurements;creatordate;displaydate;style
252;F-407-j;20;Sportif;Pencil, watercolour and indian ink on paper;27.2 x 21.2 cm;\N;1913;48
253;F-407-k;20;Ouvrier attentif;Pencil, gouache and indian ink on paper;27.5 x 21.2 cm;\N;1913;48
254;F-407-l;20;Choriste;Pencil and watercolour on paper;27.3 x 21.3 cm;\N;1913;48
255;F-407-m;20;Nouveau;Pencil, watercolour and indian ink on paper;26 x 21 cm;\N;1913;48
256;F-407-n;20;Lutteur avenirien;Pencil on paper;27 x 21 cm;\N;1913;48
257;F-407-o;20;Voyageur;Pencil on paper;27.2 x 21.3 cm;\N;1913;48
258;F-417;3;Lampe / Instruments de musique;Oil on canvas;83.5 x 69.5 cm;Late 1913;\N;48
259;F-418;3;Vache et violon;Oil on panel;48.8 x 25.8 cm;\N;\N;48
260;F-424;3;Dame dans un tramway;Oil on canvas;88 x 88 cm;\N;\N;49
261;F-436;3;Officier de la garde;Oil on canvas;57 x 66.5 cm;\N;\N;49
262;F-437;3;Dame au piano;Oil on canvas;66 x 44 cm;Spring 1914;\N;49
263;F-440;3;Un Anglais à Moscou;Oil on canvas;88 x 57 cm;Autumn 1914;\N;48
264;F-444;3;Aviateur;Oil on canvas;125 x 65 cm;Autumn 1914;\N;48
265;F-453;3;Éclipse partielle;Oil and collages on canvas;62.5 x 49.3 cm;\N;\N;49
266;F-455;3;Dame auprès d'une colonne d'affichage;Oil and paper on canvas;71 x 64 cm;Summer / Autumn 1914;\N;49
267;F-463;3;Réserviste de première classe;Oil and assemblage (stamp and thermometer) on canvas;53.6 x 44.8 cm;Autumn / Winter 1914;\N;49
268;F-464;22;Assemblage alogique avec portrait de Chliapine;Wooden spoon attached to the canvas, photo of singer Chaliapine, divers collages;measurements unknown;Early 1915;\N;45
269;F-485-a;24;Chez nos alliés français...;Colour lithograph;40.4 x 57.8 cm;1914;\N;47
270;F-485-b;24;Un Autrichien avancait vers Radzivil...;Colour lithograph;39.8 x 57.5 cm;1914;\N;47
271;F-485-c;24;Il y avait du fracas...;Colour lithograph;37.8 x 55.6 cm;1914;\N;47
272;F-485-d;24;Le charcutier s'est approché de Lodz;Colour lithograph;37.8 x 55.5 cm;1914;\N;47
273;F-485-e;24;Le carrousel wilhelmien;Colour lithograph;38.2 x 56.2 cm;1914;\N;47
274;F-485-f;24;Regarde, observe bien...;Colour lithograph;58 x 37.8 cm;1914;\N;47
275;F-485-g;24;Un cosaque avacait...;Colour lithograph;58.5 x 40 cm;1914;\N;47
276;F-487-a;24;Regarde, observe bien...;Postcard;14 x 9 cm;1914;\N;47
277;F-487-b;24;Galic...;Postcard;14 x 9 cm;1914;\N;47
278;F-487-e;24;Un Autrichien vancait vers Radzivil...;Postcard;14 x 9 cm;1914;\N;47
279;F-487-f;24;Autrichien, n'avance pas avec des ruses...;Postcard;\N;1914;\N;47
280;F-487-g;24;Lyk;Postcard;14 x 9 cm;1914;\N;47
281;F-487-h;24;Cracovie;Postcard;14 x 9 cm;1914;\N;47
282;F-487-i;24;Kovno;Postcard;14 x 9 cm;1914;\N;47
283;S-14;3;Réalisme pictural d'un footballeur;Oil on canvas;70 x 44 cm;1915;\N;49
284;S-21;3;Autoportrait en deux dimensions;Oil on canvas;80 x 62 cm;1915;\N;50
285;S-25;3;Composition suprématiste;Oil on canvas;57 x 66.5 cm;1915;\N;50
286;S-26;3;Composition 2 c;Oil on canvas;90 x 70 cm\
or 90x65 cm (approximate measurements);1915;\N;50
287;S-31;3;Composition suprématiste;Oil on canvas;54.3 x 53.7 cm\
or 53..5x53.7 cm;1915;\N;50
288;S-33;3;Composition suprématiste;Oil on canvas;71 x 49.2 cm;1915;\N;50
289;S-34;3;Composition suprématiste;Oil on canvas;57.5 x 48.5 cm\
approximate measurements;1915;\N;50
